"Year","Data","Scenario","Variable","Unit"
2082,610.680835754,"EMB","Atm. CO2 concentration","ppm"
2083,613.814576439,"EMB","Atm. CO2 concentration","ppm"
2084,616.894004831,"EMB","Atm. CO2 concentration","ppm"
2085,619.919964001,"EMB","Atm. CO2 concentration","ppm"
2086,622.898426053,"EMB","Atm. CO2 concentration","ppm"
2087,625.825106688,"EMB","Atm. CO2 concentration","ppm"
2088,628.697561846,"EMB","Atm. CO2 concentration","ppm"
2089,631.521802217,"EMB","Atm. CO2 concentration","ppm"
2090,634.296240442,"EMB","Atm. CO2 concentration","ppm"
2091,637.045622622,"EMB","Atm. CO2 concentration","ppm"
2092,639.755956875,"EMB","Atm. CO2 concentration","ppm"
2093,642.432190879,"EMB","Atm. CO2 concentration","ppm"
2094,645.0940604855,"EMB","Atm. CO2 concentration","ppm"
2095,647.695439756,"EMB","Atm. CO2 concentration","ppm"
2096,650.217602895,"EMB","Atm. CO2 concentration","ppm"
2097,652.699176779,"EMB","Atm. CO2 concentration","ppm"
2098,655.13480785,"EMB","Atm. CO2 concentration","ppm"
2099,657.499809216,"EMB","Atm. CO2 concentration","ppm"
2100,659.8160749495,"EMB","Atm. CO2 concentration","ppm"
2101,662.129181808,"EMB","Atm. CO2 concentration","ppm"
2102,664.41462911,"EMB","Atm. CO2 concentration","ppm"
2103,666.645107638,"EMB","Atm. CO2 concentration","ppm"
2104,668.822333095,"EMB","Atm. CO2 concentration","ppm"
2105,670.989819803,"EMB","Atm. CO2 concentration","ppm"
2106,673.089663938,"EMB","Atm. CO2 concentration","ppm"
2107,675.143860279,"EMB","Atm. CO2 concentration","ppm"
2108,677.1501115085,"EMB","Atm. CO2 concentration","ppm"
2109,679.094955619,"EMB","Atm. CO2 concentration","ppm"
2110,681.0332284475,"EMB","Atm. CO2 concentration","ppm"
2111,682.932390177,"EMB","Atm. CO2 concentration","ppm"
2112,684.803630356,"EMB","Atm. CO2 concentration","ppm"
2113,686.653767657,"EMB","Atm. CO2 concentration","ppm"
2114,688.482361612,"EMB","Atm. CO2 concentration","ppm"
2115,690.262449528,"EMB","Atm. CO2 concentration","ppm"
2116,691.979627745,"EMB","Atm. CO2 concentration","ppm"
2117,693.667853701,"EMB","Atm. CO2 concentration","ppm"
2118,695.30716225,"EMB","Atm. CO2 concentration","ppm"
2119,696.909650074,"EMB","Atm. CO2 concentration","ppm"
2120,698.473182809,"EMB","Atm. CO2 concentration","ppm"
2121,700.016861223,"EMB","Atm. CO2 concentration","ppm"
2122,701.5562001655,"EMB","Atm. CO2 concentration","ppm"
2123,703.074607128,"EMB","Atm. CO2 concentration","ppm"
2124,704.6009936405,"EMB","Atm. CO2 concentration","ppm"
2125,706.100219273,"EMB","Atm. CO2 concentration","ppm"
2126,707.5787838365,"EMB","Atm. CO2 concentration","ppm"
2127,709.00755786,"EMB","Atm. CO2 concentration","ppm"
2128,710.4308806495,"EMB","Atm. CO2 concentration","ppm"
2129,711.7741635335,"EMB","Atm. CO2 concentration","ppm"
2130,713.126313783,"EMB","Atm. CO2 concentration","ppm"
2131,714.4284897805,"EMB","Atm. CO2 concentration","ppm"
2132,715.755355941,"EMB","Atm. CO2 concentration","ppm"
2133,717.075607024,"EMB","Atm. CO2 concentration","ppm"
2134,718.388419725,"EMB","Atm. CO2 concentration","ppm"
2135,719.694104311,"EMB","Atm. CO2 concentration","ppm"
2136,720.940773315,"EMB","Atm. CO2 concentration","ppm"
2137,722.187862375,"EMB","Atm. CO2 concentration","ppm"
2138,723.39898478,"EMB","Atm. CO2 concentration","ppm"
2139,724.601640952,"EMB","Atm. CO2 concentration","ppm"
2140,725.7835197525,"EMB","Atm. CO2 concentration","ppm"
2141,726.9240064815,"EMB","Atm. CO2 concentration","ppm"
2142,728.098155969,"EMB","Atm. CO2 concentration","ppm"
2143,729.23976908,"EMB","Atm. CO2 concentration","ppm"
2144,730.414697464,"EMB","Atm. CO2 concentration","ppm"
2145,731.589738017,"EMB","Atm. CO2 concentration","ppm"
2146,732.737966425,"EMB","Atm. CO2 concentration","ppm"
2147,733.8677537275,"EMB","Atm. CO2 concentration","ppm"
2148,734.99486719,"EMB","Atm. CO2 concentration","ppm"
2149,736.096788062,"EMB","Atm. CO2 concentration","ppm"
2150,737.175808758,"EMB","Atm. CO2 concentration","ppm"
