"Year","Data","Scenario","Variable","Unit"
2082,2.87341610279,"EMB","Surface Temperature Anomaly","C"
2083,2.89563513064,"EMB","Surface Temperature Anomaly","C"
2084,2.91496398047,"EMB","Surface Temperature Anomaly","C"
2085,2.93343160308,"EMB","Surface Temperature Anomaly","C"
2086,2.94971941871,"EMB","Surface Temperature Anomaly","C"
2087,2.96461329197,"EMB","Surface Temperature Anomaly","C"
2088,2.980354666305,"EMB","Surface Temperature Anomaly","C"
2089,2.996749183175,"EMB","Surface Temperature Anomaly","C"
2090,3.01500171121,"EMB","Surface Temperature Anomaly","C"
2091,3.035875429,"EMB","Surface Temperature Anomaly","C"
2092,3.05761964469,"EMB","Surface Temperature Anomaly","C"
2093,3.08025687678,"EMB","Surface Temperature Anomaly","C"
2094,3.099956388725,"EMB","Surface Temperature Anomaly","C"
2095,3.11441152134,"EMB","Surface Temperature Anomaly","C"
2096,3.12623316387,"EMB","Surface Temperature Anomaly","C"
2097,3.13658549405,"EMB","Surface Temperature Anomaly","C"
2098,3.147249633145,"EMB","Surface Temperature Anomaly","C"
2099,3.15877303572,"EMB","Surface Temperature Anomaly","C"
2100,3.17131115955,"EMB","Surface Temperature Anomaly","C"
2101,3.18665948327,"EMB","Surface Temperature Anomaly","C"
2102,3.20413653461,"EMB","Surface Temperature Anomaly","C"
2103,3.21993486243,"EMB","Surface Temperature Anomaly","C"
2104,3.233776084175,"EMB","Surface Temperature Anomaly","C"
2105,3.24563554014,"EMB","Surface Temperature Anomaly","C"
2106,3.25455840596,"EMB","Surface Temperature Anomaly","C"
2107,3.26252413766,"EMB","Surface Temperature Anomaly","C"
2108,3.27031545621,"EMB","Surface Temperature Anomaly","C"
2109,3.27874189027,"EMB","Surface Temperature Anomaly","C"
2110,3.28884534077,"EMB","Surface Temperature Anomaly","C"
2111,3.30111906868,"EMB","Surface Temperature Anomaly","C"
2112,3.31732694401,"EMB","Surface Temperature Anomaly","C"
2113,3.33283598096,"EMB","Surface Temperature Anomaly","C"
2114,3.34535354408,"EMB","Surface Temperature Anomaly","C"
2115,3.3541753094,"EMB","Surface Temperature Anomaly","C"
2116,3.36109099666,"EMB","Surface Temperature Anomaly","C"
2117,3.36649547452,"EMB","Surface Temperature Anomaly","C"
2118,3.3717237227,"EMB","Surface Temperature Anomaly","C"
2119,3.37717013057,"EMB","Surface Temperature Anomaly","C"
2120,3.38371148691,"EMB","Surface Temperature Anomaly","C"
2121,3.39298892363,"EMB","Surface Temperature Anomaly","C"
2122,3.405496837215,"EMB","Surface Temperature Anomaly","C"
2123,3.42091507173,"EMB","Surface Temperature Anomaly","C"
2124,3.432097926875,"EMB","Surface Temperature Anomaly","C"
2125,3.44074679584,"EMB","Surface Temperature Anomaly","C"
2126,3.44625875299,"EMB","Surface Temperature Anomaly","C"
2127,3.44895440453,"EMB","Surface Temperature Anomaly","C"
2128,3.451382976555,"EMB","Surface Temperature Anomaly","C"
2129,3.454422674365,"EMB","Surface Temperature Anomaly","C"
2130,3.45911740996,"EMB","Surface Temperature Anomaly","C"
2131,3.46705945817,"EMB","Surface Temperature Anomaly","C"
2132,3.480219310185,"EMB","Surface Temperature Anomaly","C"
2133,3.4935403942,"EMB","Surface Temperature Anomaly","C"
2134,3.50451507838,"EMB","Surface Temperature Anomaly","C"
2135,3.51199793091,"EMB","Surface Temperature Anomaly","C"
2136,3.51532585935,"EMB","Surface Temperature Anomaly","C"
2137,3.51584564365,"EMB","Surface Temperature Anomaly","C"
2138,3.51602695467,"EMB","Surface Temperature Anomaly","C"
2139,3.51779483425,"EMB","Surface Temperature Anomaly","C"
2140,3.52075047979,"EMB","Surface Temperature Anomaly","C"
2141,3.52479766645,"EMB","Surface Temperature Anomaly","C"
2142,3.53150897957,"EMB","Surface Temperature Anomaly","C"
2143,3.540671568645,"EMB","Surface Temperature Anomaly","C"
2144,3.54941957865,"EMB","Surface Temperature Anomaly","C"
2145,3.55707956842,"EMB","Surface Temperature Anomaly","C"
2146,3.563050680265,"EMB","Surface Temperature Anomaly","C"
2147,3.56679261978,"EMB","Surface Temperature Anomaly","C"
2148,3.56983425914,"EMB","Surface Temperature Anomaly","C"
2149,3.5726313297,"EMB","Surface Temperature Anomaly","C"
2150,3.575126202555,"EMB","Surface Temperature Anomaly","C"
